# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 2
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 20 20:17:07 EDT 2014
# Player 1: Player-0, 'Human', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 Human
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,2)
1 (15,2) (13,4)
1 null null
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (0,11)
2 (0,11) (2,13)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,15)
2 null null
3 (15,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 null null
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 (3,3) (3,1)
0 (3,1) (3,3)
0 null null
1 (12,1) (12,2)
2 (1,12) (0,11)
3 (13,13) (12,12)
