# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 3
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 10 10:35:36 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, '260430681', running on localhost
# Player 3: Player-2, '260430682', running on localhost
# Player 4: Player-3, '260430683', running on localhost
START Player-0 260430688
START Player-1 260430681
START Player-2 260430682
START Player-3 260430683
0 (1,1) (3,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,12)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,2)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (3,11)
2 (3,11) (5,13)
2 null null
3 (13,15) (11,15)
3 (11,15) (11,13)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 (4,2) (6,2)
0 null null
1 (15,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (9,2)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,13)
2 (4,13) (6,13)
2 null null
3 (14,14) (12,12)
3 (12,12) (10,14)
3 null null
0 (2,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (2,4)
0 (2,4) (4,2)
0 (4,2) (4,4)
0 null null
1 (13,2) (15,4)
1 (15,4) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (11,4)
1 null null
2 (2,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (2,11)
2 (2,11) (4,13)
2 (4,13) (4,11)
2 null null
3 (13,13) (13,15)
3 (13,15) (11,15)
3 (11,15) (9,13)
3 null null
0 (2,0) (4,0)
0 (4,0) (2,2)
0 (2,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (13,0) (11,0)
1 (11,0) (13,2)
1 (13,2) (15,4)
1 (15,4) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,2)
1 null null
2 (2,15) (4,15)
2 (4,15) (2,13)
2 (2,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (2,11)
2 (2,11) (4,13)
2 null null
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (13,15)
3 (13,15) (11,15)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (12,0) (12,2)
1 (12,2) (12,4)
1 (12,4) (10,4)
1 null null
2 (3,15) (3,13)
2 (3,13) (3,11)
2 (3,11) (5,11)
2 null null
3 (12,15) (10,15)
3 (10,15) (10,13)
3 (10,13) (8,13)
3 null null
0 (2,1) (4,1)
0 (4,1) (6,3)
0 (6,3) (4,5)
0 null null
1 (13,1) (11,1)
1 (11,1) (9,3)
1 (9,3) (11,5)
1 null null
2 (3,14) (5,12)
2 (5,12) (5,14)
2 (5,14) (7,12)
2 (7,12) (9,14)
2 (9,14) (9,12)
2 (9,12) (7,14)
2 null null
3 (12,14) (10,12)
3 (10,12) (8,14)
3 (8,14) (6,14)
3 (6,14) (6,12)
3 (6,12) (4,10)
3 null null
0 (0,3) (2,1)
0 (2,1) (4,1)
0 (4,1) (6,3)
0 (6,3) (6,1)
0 null null
1 (15,3) (13,1)
1 (13,1) (11,1)
1 (11,1) (9,3)
1 (9,3) (9,1)
1 null null
2 (1,12) (1,14)
2 (1,14) (3,14)
2 (3,14) (5,12)
2 (5,12) (5,14)
2 (5,14) (7,12)
2 (7,12) (9,14)
2 (9,14) (9,12)
2 null null
