# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 9
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 20 23:30:52 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 260430688
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (13,3)
2 (1,12) (2,12)
3 (14,13) (12,13)
3 null null
0 (3,3) (4,4)
1 (12,1) (11,0)
2 (3,14) (4,13)
3 (12,14) (12,12)
3 (12,12) (12,14)
3 null null
0 (4,4) (5,5)
1 (11,0) (10,0)
2 (0,13) (1,12)
3 (15,13) (15,11)
3 null null
0 (5,5) (6,6)
1 (13,1) (13,2)
2 (2,14) (3,14)
3 (12,13) (11,14)
0 (6,6) (7,7)
1 (13,3) (12,3)
2 (4,13) (4,12)
3 (15,12) (15,10)
3 (15,10) (15,12)
3 null null
0 (7,7) (8,8)
1 (13,2) (12,1)
2 (3,15) (4,15)
3 (14,14) (12,12)
3 null null
0 (8,8) (9,9)
1 (12,1) (12,2)
2 (4,12) (3,11)
3 (12,12) (14,14)
3 null null
0 (9,9) (10,10)
1 (10,0) (11,0)
2 (3,11) (4,10)
3 (11,14) (11,13)
0 (10,10) (11,11)
1 (11,0) (12,1)
2 (0,14) (2,14)
2 (2,14) (0,14)
2 null null
3 (13,14) (14,13)
0 (11,11) (12,12)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 null null
2 (4,10) (5,9)
3 (13,13) (11,11)
3 (11,11) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 null null
GAMEOVER ILLEGAL MOVE: Player 0 move from (L,12) to (M,13)
WINNER Player-1
# Game ended: Thu Mar 20 23:30:53 EDT 2014
