# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 12
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 20 23:38:05 EDT 2014
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,3) (0,4)
1 (12,1) (11,1)
2 (0,13) (2,11)
2 null null
3 (13,13) (12,12)
0 (1,2) (2,3)
1 (14,0) (12,2)
1 null null
2 (0,12) (0,11)
3 (12,12) (12,11)
0 (0,1) (1,2)
1 (13,1) (13,3)
1 null null
2 (2,15) (0,13)
2 (0,13) (2,15)
2 null null
3 (14,14) (13,13)
0 (2,2) (3,2)
1 (13,3) (13,4)
2 (0,11) (0,10)
3 (12,11) (11,12)
0 (3,2) (1,4)
0 null null
1 (13,4) (12,4)
2 (0,10) (1,11)
3 (14,12) (15,11)
0 (2,1) (0,3)
0 (0,3) (0,1)
0 null null
1 (12,0) (11,0)
2 (1,11) (2,12)
3 (15,14) (13,12)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 null null
0 (0,4) (2,4)
0 null null
1 (13,0) (12,1)
2 (2,13) (0,11)
2 null null
3 (15,13) (14,14)
0 (1,3) (0,3)
1 (11,1) (10,0)
2 (3,15) (4,15)
3 (13,15) (11,13)
3 null null
0 (1,0) (2,1)
1 (10,0) (9,0)
2 (2,11) (1,10)
3 (11,13) (12,12)
0 (1,4) (3,4)
0 null null
1 (14,1) (13,0)
2 (1,10) (2,10)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 null null
0 (3,1) (3,2)
1 (14,2) (13,3)
2 (1,13) (0,12)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (15,14)
3 null null
0 (2,4) (1,5)
1 (12,4) (11,3)
2 (0,12) (0,10)
2 null null
3 (14,13) (15,13)
0 (0,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (2,4)
0 (2,4) (0,6)
0 null null
1 (15,1) (14,2)
2 (2,10) (1,11)
3 (13,14) (13,12)
3 (13,12) (13,14)
3 (13,14) (13,12)
3 null null
0 (1,2) (1,0)
0 null null
1 (12,2) (12,0)
1 (12,0) (12,2)
1 (12,2) (10,4)
1 (10,4) (12,2)
1 (12,2) (10,4)
1 null null
2 (1,11) (1,10)
3 (15,13) (13,15)
3 null null
0 (3,0) (1,2)
0 null null
1 (9,0) (8,0)
2 (1,10) (0,9)
3 (12,14) (11,15)
0 (0,6) (0,5)
1 (14,3) (14,1)
1 (14,1) (14,3)
1 (14,3) (14,1)
1 (14,1) (14,3)
1 (14,3) (14,1)
1 (14,1) (12,3)
1 (12,3) (14,1)
1 null null
2 (2,12) (2,11)
3 (14,14) (15,13)
0 (2,3) (4,5)
0 (4,5) (2,3)
0 (2,3) (4,5)
0 null null
1 (15,2) (15,1)
2 (4,15) (5,14)
3 (13,15) (13,14)
0 (3,4) (2,4)
1 (10,4) (9,4)
2 (5,14) (6,15)
3 (12,12) (12,11)
0 (1,5) (2,6)
1 (13,0) (14,0)
2 (1,12) (1,11)
3 (13,13) (13,11)
3 (13,11) (13,13)
3 (13,13) (13,11)
3 null null
0 (2,0) (0,0)
0 (0,0) (2,0)
0 (2,0) (2,2)
0 (2,2) (2,0)
0 (2,0) (2,2)
0 (2,2) (4,2)
0 (4,2) (2,2)
0 (2,2) (2,0)
0 (2,0) (2,2)
0 (2,2) (4,2)
0 null null
1 (11,0) (10,0)
2 (0,11) (0,12)
3 (12,11) (11,10)
0 (2,1) (2,0)
1 (15,3) (15,4)
2 (0,12) (0,13)
3 (11,10) (11,11)
0 (4,5) (3,5)
1 (11,3) (10,3)
2 (0,14) (0,12)
2 (0,12) (2,10)
2 null null
3 (15,12) (15,10)
3 null null
0 (2,4) (2,3)
1 (14,1) (14,3)
1 (14,3) (14,1)
1 (14,1) (14,3)
1 (14,3) (12,3)
1 (12,3) (14,1)
1 null null
2 (2,14) (0,14)
2 null null
3 (11,12) (11,10)
3 (11,10) (11,12)
3 null null
0 (2,6) (2,7)
1 (8,0) (9,0)
2 (2,10) (0,12)
2 null null
3 (15,10) (14,9)
0 (3,5) (2,4)
1 (9,0) (8,0)
2 (1,14) (2,14)
3 (15,13) (14,14)
0 (2,0) (2,1)
1 (12,1) (12,2)
2 (0,14) (1,13)
3 (13,11) (14,12)
0 (2,4) (1,4)
1 (15,1) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (15,3)
1 null null
2 (0,13) (1,12)
3 (15,11) (15,10)
0 (1,1) (2,2)
1 (14,1) (15,2)
2 (0,12) (0,13)
