# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 17
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Mar 21 21:49:52 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 260430688
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,1) (12,3)
1 (12,3) (14,1)
1 null null
2 (2,14) (3,13)
3 (12,14) (11,15)
0 (3,3) (4,4)
1 (13,2) (12,2)
2 (3,13) (3,12)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 null null
0 (4,4) (5,5)
1 (13,0) (11,2)
1 null null
2 (0,12) (2,14)
2 (2,14) (0,12)
2 null null
3 (14,14) (12,14)
3 (12,14) (14,14)
3 (14,14) (12,12)
3 null null
0 (5,5) (6,6)
1 (13,1) (13,2)
2 (1,12) (1,11)
3 (12,12) (13,11)
0 (6,6) (7,7)
1 (12,2) (12,3)
2 (1,11) (1,12)
3 (11,15) (10,15)
0 (7,7) (8,8)
1 (12,3) (10,1)
1 null null
2 (2,13) (2,14)
3 (10,15) (9,14)
0 (8,8) (9,9)
1 (13,2) (13,1)
2 (2,15) (2,13)
2 (2,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (13,11) (13,10)
0 (9,9) (10,10)
1 (15,0) (13,2)
1 (13,2) (13,0)
1 (13,0) (13,2)
1 (13,2) (13,0)
1 null null
2 (3,12) (3,11)
3 (14,12) (15,11)
0 (10,10) (11,11)
1 (11,2) (10,2)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 null null
3 (12,15) (11,15)
0 (11,11) (12,12)
1 (13,0) (15,0)
1 (15,0) (13,0)
1 (13,0) (11,0)
1 null null
2 (3,11) (2,12)
3 (9,14) (8,13)
0 (12,12) (14,14)
GAMEOVER TIMEOUT Player-0
WINNER Player-1
# Game ended: Fri Mar 21 21:54:53 EDT 2014
