# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 33
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 27 12:42:38 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, '260430688', running on localhost
# Player 3: Player-2, '260430688', running on localhost
# Player 4: Player-3, '260430688', running on localhost
START Player-0 260430688
START Player-1 260430688
START Player-2 260430688
START Player-3 260430688
0 (2,0) (4,2)
0 null null
1 (13,2) (15,4)
1 null null
2 (2,13) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (3,1) (5,3)
0 null null
1 (15,3) (15,5)
1 null null
2 (3,15) (5,15)
2 null null
3 (12,12) (14,14)
3 null null
0 (4,2) (6,4)
0 null null
1 (15,4) (15,6)
1 null null
2 (4,15) (6,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (5,3) (7,5)
0 null null
1 (15,5) (15,7)
1 null null
2 (5,15) (7,15)
2 null null
3 (12,12) (14,14)
3 null null
0 (6,4) (8,6)
0 null null
1 (15,6) (15,8)
1 null null
2 (6,15) (8,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (7,5) (9,7)
0 null null
1 (15,7) (15,9)
1 null null
2 (7,15) (9,15)
2 null null
3 (12,12) (14,14)
3 null null
0 (8,6) (10,8)
0 null null
1 (15,8) (15,10)
1 null null
2 (8,15) (10,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (9,7) (11,9)
0 null null
1 (15,9) (15,11)
1 null null
2 (9,15) (11,15)
2 null null
3 (12,12) (14,14)
3 null null
0 (10,8) (12,10)
0 null null
1 (15,10) (14,11)
2 (11,15) (11,14)
3 (14,14) (12,12)
3 null null
0 (11,9) (13,11)
0 null null
1 (14,11) (12,11)
1 null null
2 (10,15) (12,13)
2 null null
3 (12,12) (14,14)
3 null null
0 (12,10) (12,12)
0 null null
1 (12,11) (13,12)
2 (12,13) (14,11)
2 null null
3 (14,15) (12,13)
3 null null
0 (13,11) (11,13)
0 null null
1 (13,12) (11,12)
1 null null
2 (11,14) (13,12)
2 null null
3 (12,13) (14,15)
3 null null
0 (12,12) (12,13)
1 (15,11) (13,11)
1 null null
2 (13,12) (12,12)
3 (15,14) (13,12)
3 null null
0 (12,13) (12,11)
0 null null
1 (11,12) (12,13)
2 (14,11) (15,11)
3 (13,12) (15,14)
3 null null
0 (12,11) (13,12)
1 (12,13) (14,11)
1 null null
2 (12,12) (12,13)
3 (14,14) (12,12)
3 null null
0 (13,12) (11,12)
0 null null
1 (14,11) (12,11)
1 null null
2 (12,13) (13,12)
3 (12,12) (14,14)
3 null null
0 (11,13) (12,13)
1 (12,11) (14,11)
1 null null
2 (13,12) (12,12)
3 (15,14) (13,12)
3 null null
0 (12,13) (12,11)
0 null null
1 (14,11) (12,13)
1 null null
2 (12,12) (14,10)
2 null null
3 (13,12) (15,14)
3 null null
0 (11,12) (12,12)
1 (12,13) (13,12)
2 (14,10) (14,11)
3 (14,15) (12,13)
3 null null
0 (12,12) (14,10)
0 null null
1 (13,12) (12,12)
2 (14,11) (13,12)
3 (12,13) (14,15)
3 null null
0 (12,11) (12,13)
0 null null
1 (13,11) (11,13)
1 null null
2 (13,12) (11,12)
2 null null
3 (15,14) (13,12)
3 null null
0 (12,13) (14,11)
0 null null
1 (12,12) (12,13)
2 (15,11) (13,11)
2 null null
3 (13,12) (15,14)
3 null null
0 (14,10) (12,12)
0 null null
1 (12,13) (13,12)
2 (11,12) (12,13)
